row_id,comment,clean_comment,aspect,true_label,predicted_label,possible_reason,prediction_confidence
392,bất mãn mua deal sốc giá đắt hơn bình thường hình túi to giao túi bé,bất mãn mua deal sốc giá đắt hơn bình thường hình túi to giao túi bé,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4659
392,bất mãn mua deal sốc giá đắt hơn bình thường hình túi to giao túi bé,bất mãn mua deal sốc giá đắt hơn bình thường hình túi to giao túi bé,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4804
392,bất mãn mua deal sốc giá đắt hơn bình thường hình túi to giao túi bé,bất mãn mua deal sốc giá đắt hơn bình thường hình túi to giao túi bé,gia_ca,negative,positive,Negative class quá ít nên model học chưa tốt,0.5652
394,gần đúng mô tả. không vừa ipad,gần đúng mô tả không vừa ipad,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.4829
402,"sữa giúp bé tăng cân, hộp chắc chắn",sữa giúp bé tăng cân hộp chắc chắn,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.5354
407,vợt nhìn hơi thô giá 234k không đáng mua,vợt nhìn hơi thô giá 234k không đáng mua,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.744
413,đóng gói sản phẩm hời hợt khi nhận được hàng bị vỡ,đóng gói sản phẩm hời hợt khi nhận được hàng bị vỡ,dong_goi,negative,positive,Negative class quá ít nên model học chưa tốt,0.5236
413,đóng gói sản phẩm hời hợt khi nhận được hàng bị vỡ,đóng gói sản phẩm hời hợt khi nhận được hàng bị vỡ,van_chuyen,neutral,negative,Aspect không được nhắc đến rõ ràng,0.6387
430,màu vở xinh. giấy không quá mỏng. chất lượng tốt. giá rẻ. ship nhanh,màu vở xinh giấy không quá mỏng chất lượng tốt giá rẻ giao hàng nhanh,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.6991
430,màu vở xinh. giấy không quá mỏng. chất lượng tốt. giá rẻ. ship nhanh,màu vở xinh giấy không quá mỏng chất lượng tốt giá rẻ giao hàng nhanh,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.8066
431,chất lượng đúng mô tả mẫu mã đẹp kiểu dáng đúng mô tả pin nặng mặt kính rơi rớt dễ hư sạc cả tháng vẫn khá ok,chất lượng đúng mô tả mẫu mã đẹp kiểu dáng đúng mô tả pin nặng mặt kính rơi rớt dễ hư sạc cả tháng vẫn khá ok,chat_luong,neutral,positive,Comment mơ hồ giữa positive và neutral,0.8258
431,chất lượng đúng mô tả mẫu mã đẹp kiểu dáng đúng mô tả pin nặng mặt kính rơi rớt dễ hư sạc cả tháng vẫn khá ok,chất lượng đúng mô tả mẫu mã đẹp kiểu dáng đúng mô tả pin nặng mặt kính rơi rớt dễ hư sạc cả tháng vẫn khá ok,dong_goi,neutral,positive,Aspect không được nhắc đến rõ ràng,0.4706
433,đóng vali không khớp ọp ẹp khóa nhựa không chắc chắn. giá hợp lý,đóng vali không khớp ọp ẹp khóa nhựa không chắc chắn giá hợp lý,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.4285
439,Shop đâu có tặng,shop đâu có tặng,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.731
441,mua 2 thùng giá rẻ,mua 2 thùng giá rẻ,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.558
443,gói hàng rất cẩn thận,gói hàng rất cẩn thận,van_chuyen,neutral,positive,Aspect không được nhắc đến rõ ràng,0.5202
448,"chưa thấy hiệu quả, giao hàng nhanh, đóng gói cẩn thận",chưa thấy hiệu quả giao hàng nhanh đóng gói cẩn thận,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.5198
450,vỡ không dùng được xử lý không thỏa đáng lỗi từ trước vì gói kĩ bọc các kiểu,vỡ không dùng được xử lý không thỏa đáng lỗi từ trước vì gói kĩ bọc các kiểu,dong_goi,positive,neutral,Comment mơ hồ giữa positive và neutral,0.3957
457,đặt 7plus ship kính ip5 nhắn shop giải quyết không thèm rep đánh giá 1 sao,đặt 7plus giao hàng kính ip5 nhắn shop giải quyết không thèm rep đánh giá 1 sao,van_chuyen,neutral,negative,Comment có nhiều aspect trong một câu,0.4977
461,không như mô tả hàng lỗi. mua dán cam không dán được không có keo dính. nhắn tin không trả lời mong anh em né,không như mô tả hàng lỗi mua dán cam không dán được không có keo dính nhắn tin không trả lời mong anh em né,gia_ca,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5209
462,hàng đẹp chất lượng rất đáng mua,hàng đẹp chất lượng rất đáng mua,gia_ca,neutral,positive,Aspect không được nhắc đến rõ ràng,0.4997
463,quy trình kích hoạt lằng nhằng mất thời gian nên mua sim khác xài,quy trình kích hoạt lằng nhằng mất thời gian nên mua sim khác xài,chat_luong,neutral,negative,Aspect không được nhắc đến rõ ràng,0.536
473,Giao trễ,giao trễ,chat_luong,neutral,negative,Comment quá ngắn,0.3988
473,Giao trễ,giao trễ,van_chuyen,negative,positive,Comment quá ngắn,0.4109
480,túi cũng được. giao hàng nhanh,túi cũng được giao hàng nhanh,chat_luong,positive,neutral,Aspect không được nhắc đến rõ ràng,0.5402
481,ghi có túi nhưng giao không có thảm ok lỗi nhỏ,ghi có túi nhưng giao không có thảm ok lỗi nhỏ,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5754
482,buổi đầu đánh ok buổi 2 bung luôn. tập tành chơi vui không cần vợt khỏe nhưng bung ra thì kì quá,buổi đầu đánh ok buổi 2 bung luôn tập tành chơi vui không cần vợt khỏe nhưng bung ra thì kì quá,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.7625
485,lừa đảo không đúng mô tả mua gói 1 năm dùng 1 tháng bị khóa. shop không có thiện chí khắc phục,lừa đảo không đúng mô tả mua gói 1 năm dùng 1 tháng bị khóa shop không có thiện chí khắc phục,dong_goi,neutral,negative,Khác,0.5814
487,bị ra màu,bị ra màu,dong_goi,neutral,negative,Comment quá ngắn,0.8812
