comment,chat_luong,dong_goi,van_chuyen,gia_ca
"sữa ngon bé thích",positive,neutral,neutral,neutral
"giá rẻ, hàng chính hãng",positive,neutral,neutral,positive
"bao bì nguyên vẹn, giao nhanh",positive,positive,positive,neutral
"ít đường dễ uống, bao bì đẹp",positive,positive,neutral,neutral
"ít đường, tiện lợi",negative,neutral,neutral,neutral
"hàng đẹp đúng mô tả, giao nhanh",positive,positive,positive,neutral
"sản phẩm vượt mong đợi",negative,neutral,neutral,neutral
"đóng gói kỹ, giao tương đối nhanh",negative,positive,positive,neutral
"thiết kế đơn giản dễ dùng, giao nhanh",positive,neutral,positive,neutral
"bao bì đóng gói tốt, giao nhanh",positive,positive,positive,neutral
"giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"chè lam ít ngọt, lạc rang thơm, giòn tan",negative,neutral,neutral,neutral
"sản phẩm tốt, giao hàng nhanh",positive,neutral,positive,neutral
"mẫu mã đẹp, giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"sneaker phối màu đẹp",positive,neutral,neutral,neutral
"chất lượng tốt, giao nhanh, giá rẻ",positive,neutral,positive,positive
"giao hàng nhanh, đóng gói nhanh, sản phẩm ổn",positive,neutral,positive,neutral
"giao hàng nhanh, shipper thân thiện",positive,neutral,positive,neutral
"sữa bé thích, giao hàng nhanh",positive,neutral,positive,neutral
"sữa dinh dưỡng cao nhưng hơi ngọt",positive,neutral,neutral,neutral
"sữa ngon, giao nhanh",positive,neutral,positive,neutral
"giao hơi chậm nhưng đóng gói kỹ",positive,positive,negative,neutral
"sản phẩm rất tốt, đóng gói cẩn thận, giao nhanh",positive,positive,positive,neutral
"sản phẩm ok, giao hàng nhanh",positive,neutral,positive,neutral
"uống ok, giao hàng nhanh",positive,neutral,positive,neutral
"rất ưng ý, đóng hàng tuyệt vời, đi hàng nhanh",positive,positive,neutral,neutral
"sản phẩm tốt, giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"giao nhanh, đóng gói cẩn thận, đáng giá tiền",positive,positive,positive,neutral
"sữa ít đường, thơm ngon",positive,neutral,neutral,neutral
"giao hàng nhanh, hạn sử dụng xa, đóng gói cẩn thận",positive,positive,positive,neutral
"bọc hàng kỹ nhưng hộp bị móp",negative,negative,neutral,neutral
"sữa dừa thơm, thanh, không quá ngọt",positive,negative,neutral,neutral
"sản phẩm chính hãng, bao bì đẹp",positive,positive,neutral,neutral
"đóng gói cẩn thận, giao hàng nhanh",positive,positive,positive,neutral
"giá cao hơn mua cửa hàng",neutral,neutral,neutral,negative
"thiết kế tinh tế, hiệu suất tốt",negative,neutral,neutral,neutral
"sản phẩm tốt, mua trên app rẻ hơn",positive,neutral,neutral,positive
"giao hàng nhanh chóng, giá hợp lí",positive,neutral,positive,positive
"sữa ít đường vị vani, bé thích",positive,neutral,neutral,neutral
"shop giao đúng sản phẩm",positive,positive,neutral,neutral
"sữa dễ uống, giá rẻ, ship nhanh",positive,neutral,positive,positive
"thùng sữa hơi móp méo",negative,negative,neutral,neutral
"đóng gói kỹ, hàng không đổ vỡ, giá rẻ",negative,positive,neutral,positive
"sữa thơm ngon, săn được giá tốt",positive,neutral,neutral,positive
"giao nhanh, gói kỹ, sữa ngon",positive,neutral,positive,neutral
"đóng gói hơi sơ sài nhưng sản phẩm nguyên vẹn",positive,negative,neutral,neutral
"gói hàng ok, giá tốt",positive,positive,neutral,positive
"shop giao nhanh, đóng gói ok, giá rẻ",positive,positive,positive,positive
"sữa ngon, bé thích, đóng gói kỹ",positive,positive,neutral,neutral
"mua chính hãng nên yên tâm",positive,neutral,neutral,neutral
"giao hàng nhanh, gói hàng cẩn thận, chất lượng tốt",positive,positive,positive,neutral
"tủ đa năng tiện ích",positive,neutral,neutral,neutral
"shop giao hàng nhanh, đúng đủ hàng",positive,positive,positive,neutral
"đóng hàng nhanh, giao hàng nhanh",positive,neutral,positive,neutral
"đóng gói cẩn thận, giao siêu nhanh",positive,positive,positive,neutral
"sữa giúp bé tăng cân, hộp chắc chắn",negative,positive,neutral,neutral
"sữa ngon, hỗ trợ tăng cân, giao hàng nhanh, sale rẻ",positive,neutral,positive,positive
"sữa thanh mát ít đường, bao bì đẹp",positive,positive,neutral,neutral
"sản phẩm đẹp mắt, giá hợp lý, giao đúng giờ",positive,neutral,positive,positive
"sản phẩm tốt, bao bì đẹp mắt",positive,positive,neutral,neutral
"sữa ít đường thơm ngon, đóng gói cẩn thận",positive,positive,neutral,neutral
"giao hàng nhanh, săn sale giá rẻ, bé thích",positive,neutral,positive,positive
"đóng gói cẩn thận, ship nhanh",positive,positive,positive,neutral
"sản phẩm đúng hình, chất lượng ổn",positive,positive,neutral,neutral
"sữa thơm ngon, không quá ngọt",positive,negative,neutral,neutral
"giá cả phải chăng",positive,neutral,neutral,positive
"chất lượng vượt trội, giá hợp lý, giao nhanh",positive,neutral,positive,positive
"đóng gói cẩn thận, date xa, bé thích",positive,positive,neutral,neutral
"bé hợp tác, săn sale giá tốt",positive,neutral,neutral,positive
"giao đúng sản phẩm, giao nhanh",positive,positive,positive,neutral
"sữa ít đường, săn được giá rẻ",positive,neutral,neutral,positive
"sữa ngọt thanh, bé uống hợp",positive,neutral,neutral,neutral
"shop gói cẩn thận, giao nhanh",positive,positive,positive,neutral
"sữa ngon không quá ngọt",positive,negative,neutral,neutral
"ship lẹ, đã mua nhiều lần",positive,neutral,positive,neutral
"sữa ít đường, hộp chắc chắn",negative,positive,neutral,neutral
"sữa ngọt dịu, phù hợp giá tiền",positive,neutral,neutral,positive
"đã mua nhiều lần, ổn áp",positive,neutral,neutral,neutral
"giao hàng nhanh, chất lượng tuyệt vời",positive,neutral,positive,neutral
"giao hàng nhanh, đóng gói chắc chắn, hsd xa",negative,positive,positive,neutral
"sữa ngon dễ uống, bé thích",positive,neutral,neutral,neutral
"vị ngọt vừa phải dễ uống, giao hàng nhanh",positive,neutral,positive,neutral
"mua nhiều lần rồi, hàng chính hãng",positive,neutral,neutral,neutral
"giao hàng nhanh nhưng hộp hơi móp",negative,negative,positive,neutral
"hạn dùng xa, gửi hàng nhanh, sale tốt",positive,neutral,positive,neutral
"đóng gói cẩn thận, loại 48 hộp rẻ hơn",positive,positive,neutral,positive
"sữa giúp bé ăn ngon và tăng cân",positive,neutral,neutral,neutral
"sữa ngon, bé rất thích",positive,neutral,neutral,neutral
"giao hàng nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"sữa giúp bé tăng cân và phát triển chiều cao",positive,neutral,neutral,neutral
"giao hàng nhanh, phù hợp giá tiền",positive,neutral,positive,positive
"sữa ok, bao bì chắc chắn",negative,positive,neutral,neutral
"giao hàng nhanh, đúng sản phẩm, hàng chính hãng",positive,positive,positive,neutral
"shop giao hàng nhanh, chất lượng ok",positive,neutral,positive,neutral
"chưa thấy hiệu quả nhưng giao nhanh, đóng gói cẩn thận",negative,positive,positive,neutral
"chưa thấy hiệu quả, giao hàng nhanh, đóng gói cẩn thận",negative,positive,positive,neutral
"sản phẩm tốt phù hợp giá tiền, đóng gói cẩn thận",positive,positive,neutral,positive
"sữa ít ngọt dễ uống, hộp nhỏ tiện mang đi",positive,neutral,neutral,neutral
"sản phẩm ổn khá đẹp",positive,neutral,neutral,neutral
"sản phẩm tuyệt vời, đóng gói chắc chắn, giao nhanh",negative,positive,positive,neutral
"đóng gói kỹ, mẫu mã đẹp, sale giá rẻ",positive,positive,neutral,positive
"mẫu mã đẹp, giao nhanh, gói cẩn thận",positive,neutral,positive,neutral
"sữa ngọt vừa béo",positive,neutral,neutral,neutral
"bé hay uống, săn sale giá tốt",positive,neutral,neutral,positive
"bé hợp tác, sale giá tốt",positive,neutral,neutral,positive
"sản phẩm tốt, bao bì đẹp",positive,positive,neutral,neutral
"dễ uống, phù hợp giá tiền",positive,neutral,neutral,positive
"giá thành hợp lý, chất lượng tốt",positive,neutral,neutral,positive
"sữa ngon bé thích, giao nhanh, đóng gói chắc chắn",negative,positive,positive,neutral
"giá rẻ hơn nhiều nơi",positive,neutral,neutral,positive
"giao nhanh, đóng hàng kỹ, sale rẻ",positive,positive,positive,positive
"đóng gói cẩn thận, giá ổn",positive,positive,neutral,positive
"đúng sản phẩm, giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"giá cả phải chăng, shipper nhiệt tình",positive,neutral,positive,positive
"hàng đẹp, giao nhanh",positive,neutral,positive,neutral
"mua 2 thùng giá rẻ",negative,neutral,neutral,positive
"ship hơi lâu nhưng đóng gói cẩn thận, giá mềm",positive,positive,negative,positive
"shop uy tín, giao hàng nhanh",positive,neutral,positive,neutral
"săn sale rẻ hơn ngoài",positive,neutral,neutral,positive
"sữa hỗ trợ tăng cân tiêu hóa tốt",positive,neutral,neutral,neutral
"giao hàng nhanh, bọc xốp cẩn thận",positive,positive,positive,neutral
"giao hàng nhanh, giá hợp lí",positive,neutral,positive,positive
"mẫu mới đẹp mắt",positive,neutral,neutral,neutral
"giao hàng tương đối, đóng gói chắc chắn",negative,positive,neutral,neutral
"giao hàng nhanh, giá mềm",positive,neutral,positive,positive
"bao bì đẹp đơn giản, ship nhanh",positive,positive,positive,neutral
"giao nhanh, chất lượng tốt, giá hợp lí",positive,neutral,positive,positive
"ship nhanh, sẽ mua lại",positive,neutral,positive,neutral
"giao hàng hơi lâu nhưng đóng gói cẩn thận",positive,positive,negative,neutral
"bao bì bắt mắt, sữa thơm ngon ít ngọt",positive,neutral,neutral,neutral
"mua mall yên tâm, giá rẻ hơn ngoài, giao nhanh",positive,neutral,positive,positive
"giao hàng nhanh",positive,neutral,positive,neutral
"hãng uy tín, giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"ngọt vừa, bao bì chắc chắn",negative,positive,neutral,neutral
"đóng gói cẩn thận, giao lẹ",positive,positive,positive,neutral
"ít ngọt dễ uống",positive,neutral,neutral,neutral
"bé dùng hợp",positive,neutral,neutral,neutral
"shop giao hàng nhanh, tư vấn nhiệt tình",positive,neutral,positive,neutral
"mọi người bảo dùng ổn",positive,neutral,neutral,neutral
"bé hợp, lên nửa cân, ship nhanh",positive,neutral,positive,neutral
"giao hàng nhanh, mẫu mã đẹp",positive,neutral,positive,neutral
"bé lên cân đều, giao hàng nhanh",negative,neutral,positive,neutral
"đóng gói đẹp chắc chắn",negative,positive,neutral,neutral
"giao hàng nhanh, giá cả phải chăng",positive,neutral,positive,positive
"màu đỏ không quá ngọt, bé hợp tác",positive,negative,neutral,neutral
"vị ít ngọt dễ uống",positive,neutral,neutral,neutral
"sp tốt, sữa ngon, bé hợp tác",positive,neutral,neutral,neutral
"hàng tạm ổn, giao nhanh, đóng gói cẩn thận",neutral,positive,positive,neutral
"giao hàng nhanh chóng",positive,neutral,positive,neutral
"sản phẩm tốt giao hàng nhanh",positive,neutral,positive,neutral
"bao bì đẹp, bé hợp sữa này",positive,positive,neutral,neutral
"sữa ngon bé thích, giao nhanh",positive,neutral,positive,neutral
"đóng gói cẩn thận, giá rẻ, giao nhanh",positive,positive,positive,positive
"hộp đẹp, hàng chính hãng",positive,positive,neutral,neutral
"sữa ngon con thích",positive,neutral,neutral,neutral
"con chịu uống",positive,neutral,neutral,neutral
"ít ngọt bé dễ uống",positive,neutral,neutral,neutral
"sữa thơm ngon, đã mua nhiều lần",positive,neutral,neutral,neutral
"giá cả hợp lí",positive,neutral,neutral,positive
"chính hãng, sẽ mua lại",positive,neutral,neutral,neutral
"giao hàng lâu nhưng sữa tốt",positive,neutral,negative,neutral
"sữa ngon chuẩn chính hãng",positive,neutral,neutral,neutral
"date xa săn sale giá hời",positive,neutral,neutral,positive
"giao hơi lâu, đóng gói không chắc chắn",negative,positive,negative,neutral
"bé rất thích uống",positive,neutral,neutral,neutral
"ship nhanh, đóng gói cẩn thận, giá rẻ",positive,positive,positive,positive
"ít đường vị thơm béo nhẹ, giao nhanh",positive,neutral,positive,neutral
"săn được giá rẻ",positive,neutral,neutral,positive
"sữa thơm dịu ngọt nhẹ, bé tăng cân",positive,neutral,neutral,neutral
"sữa dễ uống không ngọt gắt",positive,neutral,neutral,neutral
"hàng đẹp đầy đủ giao nhanh",positive,positive,positive,neutral
"mùi vị thơm ngon dễ uống",positive,neutral,neutral,neutral
"hàng giao nhanh chất lượng",positive,neutral,positive,neutral
"Hàng giao nhanh, chưa dùng nên chưa biết chất lượng, giá rẻ hơn siêu thị",neutral,neutral,positive,positive
"Đóng gói chán, chai bị mở seal và chảy dầu gội",negative,negative,neutral,neutral
"Sản phẩm bị vỡ do không bọc chống sốc, quà tặng cũng bị bể",negative,negative,neutral,neutral
"Dầu bị đổ ra ngoài, shop đổ lỗi cho Shopee",negative,negative,neutral,neutral
"Không quét được mã vạch, gội xong tóc cứng và rít",negative,neutral,neutral,neutral
"Thùng hàng te tua, vòi chai bị gãy",negative,negative,neutral,neutral
"Chai dầu chỉ còn 2/3",negative,neutral,neutral,neutral
"Hàng lỗi, đóng gói không chống sốc làm gãy sản phẩm",negative,negative,neutral,neutral
"Chai dầu bị mở khóa nên chảy ra ngoài",negative,negative,neutral,neutral
"Đóng gói sơ sài, không bọc chống sốc",negative,negative,neutral,neutral
"Dầu gội chảy ra làm ướt cả hộp",negative,neutral,neutral,neutral
"2 chai dầu bị chảy rất nhiều",negative,negative,neutral,neutral
"Giao chậm, đóng gói ẩu làm vỡ nắp",negative,negative,negative,neutral
"Hàng bị đổ nhưng đổi trả phiền phức",negative,negative,neutral,neutral
"Shop đóng hàng kém, dầu đổ hết ra ngoài",negative,negative,neutral,neutral
"Không quấn keo hay chống sốc, chai bị đổ",negative,negative,neutral,neutral
"Dầu gội gây ngứa, chai chỉ còn hơn nửa",negative,negative,neutral,neutral
"Đóng gói cực kỳ ẩu, dầu tràn ra ngoài và vỡ nắp",negative,negative,neutral,neutral
"Hàng bị đổ hết ra ngoài",negative,negative,neutral,neutral
"Đơn hàng giao rất chậm và thiếu thông tin",negative,negative,negative,neutral
"Vòi chai bị bể, gói hàng sơ sài",negative,negative,neutral,neutral
"Chai dầu bật nắp làm chảy đầy hộp",negative,neutral,neutral,neutral
"Nắp vòi bị bật lên",negative,neutral,neutral,neutral
"Chai to nhưng không giảm rụng tóc",negative,neutral,neutral,neutral
"Hộp nát, sản phẩm như đã mở nắp dùng rồi",negative,negative,neutral,neutral
"Không bọc kỹ, đóng gói cẩu thả",negative,negative,neutral,neutral
"Không đúng mô tả, tóc không mượt và rụng nhiều hơn",negative,negative,neutral,neutral
"Đóng gói rách nát, hàng bị vỡ",negative,negative,neutral,neutral
"Vỡ nắp tay cầm, dầu bị đổ ra ngoài",negative,negative,neutral,neutral
"Hàng giao không đồng nhất nguồn gốc",negative,neutral,neutral,neutral
"Chai dầu bị chiết bớt",negative,neutral,neutral,neutral
"Xà bông đổ ra ngoài",negative,neutral,neutral,neutral
"Gội xong cả nhà bị rụng tóc nhiều",negative,neutral,neutral,neutral
"Vỡ chai, gãy vòi, chảy mất nửa chai",negative,neutral,neutral,neutral
"Quảng cáo tặng quà nhưng thực tế thiếu quà",negative,negative,neutral,neutral
"Không nhận đủ đơn hàng",negative,positive,neutral,neutral
"Hàng giả, màu và mùi không giống",negative,neutral,neutral,neutral
"Shop gửi hàng dù đã hủy đơn",negative,positive,neutral,neutral
"Flash sale nhưng giá cao hơn shop khác",neutral,negative,neutral,negative
"Đóng gói tệ chỉ với ít bong bóng",negative,negative,neutral,neutral
"Gói hàng ẩu, dầu đổ đầy ra ngoài",negative,negative,neutral,neutral
"Đóng gói sơ sài, chai cũ như đã mở",negative,negative,neutral,neutral
"Không quấn bảo vệ làm chai hư và đổ tràn",negative,neutral,neutral,neutral
"Hình quảng cáo có quà nhưng nhận không có",negative,negative,neutral,neutral
"Đơn hàng bị hủy tự động",negative,neutral,negative,neutral
"Gội xong bị gàu và ngứa",negative,neutral,neutral,neutral
"Nghi ngờ hàng nhái vì mã vạch và nơi sản xuất không khớp",negative,neutral,neutral,neutral
"Gội xong ngứa và bết tóc",negative,neutral,neutral,neutral
"Không check được mã vạch",negative,neutral,neutral,neutral
"Vỏ dầu gội nhưng bên trong là dầu xả",positive,neutral,neutral,neutral
"Chai bị rút bớt dầu",negative,neutral,neutral,neutral
"Không quét được mã vạch, gội bị nhiều gàu hơn",negative,neutral,neutral,neutral
"Hàng lỗi hoặc hư hỏng",negative,neutral,neutral,neutral
"Nắp chai bị bật và chảy hết ra ngoài",negative,negative,neutral,neutral
"Chờ cả tuần nhưng không được giao",negative,neutral,negative,neutral
"Thiếu sản phẩm nhưng vẫn bị tính ship",negative,neutral,negative,neutral
"Không nhận được dầu xả tặng kèm",negative,negative,neutral,neutral
"Nắp chai bật ra và chảy dầu",negative,neutral,neutral,neutral
"Shop đóng hàng quá cẩu thả",negative,negative,neutral,neutral
"Giao thiếu quà tặng, xử lý khiếu nại rườm rà",negative,negative,neutral,neutral
"Đặt dầu gội nhưng giao dầu xả, xử lý khiếu nại kém",negative,negative,neutral,neutral
"Đóng gói không chắc chắn, nghi ngờ hàng chính hãng",negative,positive,neutral,neutral
"Nắp chai bị xoay làm chảy xà bông",negative,negative,neutral,neutral
"Không check được mã vạch, khác hàng ngoài thị trường",negative,neutral,neutral,neutral
"Tem chồng chất như hàng fake, chai bị vơi",negative,neutral,neutral,neutral
"Gói hàng quá tệ, không có chống sốc làm móp méo và chảy dầu",negative,negative,neutral,neutral
"Đóng gói sơ sài",negative,negative,neutral,neutral
"Bàn chải quá cứng",negative,neutral,neutral,neutral
"Sản phẩm không như mô tả, chất lượng kém",negative,neutral,neutral,neutral
"hàng lỗi. sạc không lên nguồn. shop không trả lời",negative,neutral,neutral,neutral
"hàng lỗi. bật không lên nguồn. sạc không vào",negative,neutral,neutral,neutral
"hàng lỗi. không hướng dẫn sử dụng",negative,neutral,neutral,neutral
"giao nhanh. xài ổn. giá hợp lý",positive,neutral,positive,positive
"bật lớn loa nghe âm thanh kém",negative,neutral,neutral,neutral
"dễ sử dụng. chất lượng tạm ổn",neutral,neutral,neutral,neutral
"dùng tốt. chăm sóc khách hàng tốt",positive,neutral,neutral,neutral
"chất lượng sản phẩm tốt",positive,neutral,neutral,neutral
"sản phẩm dùng ổn",positive,neutral,neutral,neutral
"hàng lỗi. lừa đảo. shop không hỗ trợ",negative,neutral,neutral,neutral
"chất lượng tệ. giao không đúng quảng cáo",negative,negative,neutral,neutral
"giao sai sản phẩm. shop không trả lời",negative,negative,neutral,neutral
"âm thanh rè. bị thấm nước. giao sai màu",negative,negative,neutral,neutral
"giao hàng không sạc pin sẵn",negative,neutral,neutral,neutral
"sản phẩm lỗi không reset được. shop không trả lời",negative,neutral,neutral,neutral
"giao nhanh. đúng chất lượng. loa to",positive,neutral,positive,neutral
"âm thanh tốt. thiết kế đẹp nhỏ gọn",positive,neutral,neutral,neutral
"loa đẹp. âm thanh ổn. giá hợp lý",positive,neutral,neutral,positive
"loa đẹp. âm thanh to rõ",positive,neutral,neutral,neutral
"hàng lỗi bật không lên",negative,neutral,neutral,neutral
"chưa biết kết nối nhưng vẫn cho 5 sao",negative,neutral,neutral,neutral
"bình luận spam quảng cáo",neutral,neutral,neutral,neutral
"chất lượng kém. pin yếu. shop quảng cáo sai",negative,negative,neutral,neutral
"sản phẩm khá tốt. phù hợp giá tiền",positive,neutral,neutral,positive
"chất lượng rất tốt",positive,neutral,neutral,neutral
"giao hàng giả. loa hư không sử dụng được",negative,neutral,neutral,neutral
"âm lượng khá ổn",positive,neutral,neutral,neutral
"sản phẩm tốt. giá rẻ",positive,neutral,neutral,positive
"hàng ok",positive,neutral,neutral,neutral
"chất lượng kém. shop không hỗ trợ",negative,neutral,neutral,neutral
"chất lượng tốt",positive,neutral,neutral,neutral
"không như mô tả",negative,neutral,neutral,neutral
"âm thanh rõ mạnh. thiết kế nhỏ gọn",positive,neutral,neutral,neutral
"âm thanh to rõ. chống nước tốt. thiết kế gọn. giá rẻ",positive,neutral,neutral,positive
"âm thanh rõ. dễ kết nối. xài tốt",negative,neutral,neutral,neutral
"âm thanh tốt. chống nước ok. thiết kế đẹp",positive,neutral,neutral,neutral
"sản phẩm tốt. nghe hay. nhỏ gọn. giao nhanh",positive,neutral,positive,neutral
"âm thanh lớn. phù hợp tập thể dục",positive,neutral,neutral,neutral
"bình luận rác không liên quan",neutral,neutral,neutral,neutral
"giao nhanh. xài được. phù hợp giá tiền",positive,neutral,positive,positive
"mau hỏng. phí tiền",negative,neutral,neutral,negative
"không có nội dung đánh giá",neutral,neutral,neutral,neutral
"tính năng tốt",positive,neutral,neutral,neutral
"hàng lỗi không sử dụng được",negative,neutral,neutral,neutral
"quá ok",positive,neutral,neutral,neutral
"bass yếu",negative,neutral,neutral,neutral
"tốt",positive,neutral,neutral,neutral
"mọi thứ đều ok",negative,neutral,neutral,neutral
"xịn sò kết nối mạnh",negative,neutral,neutral,neutral
"ốp tốt nhưng hơi ố vàng. sạc không tác dụng",negative,neutral,neutral,neutral
"chất lượng ok. đẹp. giá rẻ. giao hàng nhiệt tình",positive,neutral,positive,positive
"chất lượng bình thường. không đúng mô tả. dễ ố vàng",negative,negative,neutral,neutral
"gói hàng tốt. giao nhanh",positive,positive,positive,neutral
"ốp như hàng đã qua sử dụng. lỗi hỏng",negative,neutral,neutral,neutral
"giao hàng rất nhanh. ốp dày dặn đẹp mắt",positive,neutral,positive,neutral
"chất lượng tốt. đóng gói kĩ. giao nhanh",positive,positive,positive,neutral
"ốp dẻo tốt. dùng lâu bị vàng. đáng tiền",positive,neutral,neutral,positive
"ốp xịn. bọc seal kĩ. giá quá rẻ",positive,neutral,neutral,positive
"ốp đẹp. giá rẻ",positive,neutral,neutral,positive
"ốp dày cứng cáp. nhựa ổn. từ tính hỏng. nhanh ố vàng",negative,neutral,neutral,neutral
"ốp cứng cáp. vừa vặn",positive,neutral,neutral,neutral
"ốp cũ xước. ộp ẹp. giá ok",negative,neutral,neutral,positive
"chất lượng dở tệ. ốp xấu trầy. dính keo",negative,neutral,neutral,neutral
"xài được. giá rẻ",positive,neutral,neutral,positive
"chất lượng tốt. giá hợp lý",positive,neutral,neutral,positive
"chất lượng tốt. dày dặn",positive,neutral,neutral,neutral
"chất liệu đểu. trầy xước nhiều. hàng lỗi",negative,negative,neutral,neutral
"giao đồ cũ đã qua sử dụng",negative,neutral,neutral,neutral
"sản phẩm đã qua sử dụng",negative,neutral,neutral,neutral
"chất lượng ok. đóng gói chắc chắn. giao nhanh",negative,positive,positive,neutral
"nhanh hỏng vòng trắng. sài được. giá rẻ",negative,neutral,neutral,positive
"sản phẩm tốt. giao hàng nhanh",positive,neutral,positive,neutral
"chất liệu tốt. giao nhanh",positive,neutral,positive,neutral
"ốp dày chống sốc. đẹp. giao nhanh",positive,neutral,positive,neutral
"nhựa trung bình có gờ khó chịu. giao sai hàng lỗi không từ tính",negative,negative,neutral,neutral
"sản phẩm đẹp tốt. giá rẻ",positive,neutral,neutral,positive
"đẹp",positive,neutral,neutral,neutral
"hàng lỗi. chưa nhận được hàng",negative,neutral,negative,neutral
"ốp đẹp cứng cáp",positive,neutral,neutral,neutral
"ổn",positive,neutral,neutral,neutral
"ốp bị bẩn",negative,negative,neutral,neutral
"ốp bị trầy xước nhiều",negative,negative,neutral,neutral
"chất liệu nhựa cứng chắc chắn",negative,neutral,neutral,neutral
"không có hộp",negative,neutral,neutral,neutral
"sản phẩm bị trầy xước",negative,negative,neutral,neutral
"chất liệu mềm. không chống xước",negative,neutral,neutral,neutral
"chất liệu đẹp. chống xước ổn",negative,neutral,neutral,neutral
"ốp xấu. bị ố vàng và trầy xước",negative,negative,neutral,neutral
"chất liệu ok",positive,neutral,neutral,neutral
"ốp cứng bền",positive,neutral,neutral,neutral
"form camera lệch. không như mô tả",negative,neutral,neutral,neutral
"giao hàng cũ bị trầy xước nhiều",negative,negative,neutral,neutral
"ốp cũ trầy xước",negative,negative,neutral,neutral
"ốp cũ trầy xước và ố vàng",negative,negative,neutral,neutral
"giá rẻ",positive,neutral,neutral,positive
"ốp cũ và xước",negative,neutral,neutral,neutral
"chất lượng kém. xước nham nhở",negative,neutral,neutral,neutral
"giao hàng cũ",negative,negative,neutral,neutral
"chất lượng kém",negative,neutral,neutral,neutral
"đúng như mô tả",positive,neutral,neutral,neutral
"chất lượng kém. ốp xước như đã qua sử dụng",negative,neutral,neutral,neutral
"giao nhanh. chất lượng đẹp và chắc chắn. giá rẻ",negative,neutral,positive,positive
"tạm ổn. khớp chắc chắn. tiện lợi dễ mang theo",negative,neutral,neutral,neutral
"giá 30k rẻ. cứng cáp. không bị lắc",positive,neutral,neutral,positive
"sản phẩm đẹp. xịn. giá rẻ. giao hàng nhanh",positive,neutral,positive,positive
"hàng chắc chắn cứng cáp. xoay tốt. giá rẻ 22k",negative,neutral,neutral,positive
"chất liệu hợp kim dày dặn. đẹp như hình",positive,neutral,neutral,neutral
"chưa dùng chưa rõ độ bền. nhìn chắc chắn. giá rẻ",negative,neutral,neutral,positive
"chất lượng tốt chắc chắn. đóng gói cẩn thận. giao nhanh",negative,positive,positive,neutral
"dùng tốt đỡ máy an toàn. đúng mẫu",positive,positive,neutral,neutral
"hàng đẹp chắc chắn. đúng quảng cáo đủ số lượng",negative,positive,neutral,neutral
"chất lượng ok. giá rẻ. giao hàng nhanh",positive,neutral,positive,positive
"chất lượng tốt. xứng đáng giá tiền rẻ",positive,neutral,neutral,positive
"khung chắc chắn. màu sắc kiểu dáng đúng mô tả",negative,positive,neutral,neutral
"giá đỡ tốt và rất chắc chắn",negative,neutral,neutral,neutral
"giá đỡ chắc chắn. các khớp xoay linh hoạt",negative,neutral,neutral,neutral
"hợp kim nhôm sử dụng được. chắc chắn. giao hàng nhanh",negative,neutral,positive,neutral
"xài ok rất chắc chắn. không bị lật",negative,neutral,neutral,neutral
"chất lượng kim loại xoay ok. giao hàng nhanh",positive,neutral,positive,neutral
"chuẩn bị hàng và giao nhanh. đóng gói cẩn thận. đúng mô tả",positive,positive,positive,neutral
"giao nhanh. nặng tay để điện thoại không đổ. xoay tròn tiện lợi. giá rẻ",negative,neutral,positive,positive
"đóng gói cẩn thận có đệm mút. chịu lực tốt cho máy nặng",positive,positive,neutral,neutral
"sản phẩm xịn nặng tay chắc chắn. xoay và chỉnh góc linh hoạt",negative,neutral,neutral,neutral
"nhỏ gọn chắc chắn. đóng gói cẩn thận",negative,positive,neutral,neutral
"cứng chắc rẻ đẹp bền. giá hợp lý. giao nhanh",positive,neutral,positive,positive
"hợp kim cứng cáp. xoay gập mượt mà",positive,positive,neutral,neutral
"chất lượng tuyệt vời. giá siêu rẻ. giao hàng cực nhanh",positive,neutral,positive,positive
"hợp kim chắc chắn để được nhiều cỡ điện thoại. giao hàng nhanh",negative,positive,positive,neutral
"giá đỡ chắc chắn giữ đế ok. shop nhiệt tình",negative,neutral,neutral,neutral
"gấp gọn tiện lợi. xoay được thiết kế tốt",negative,neutral,neutral,neutral
"chịu lực thăng bằng tốt. xoay 360 độ. đóng gói cẩn thận. giao nhanh. giá hạt dẻ",positive,positive,positive,neutral
"nặng tay cứng cáp. xoay 360 độ dễ dàng. giao hàng siêu nhanh",positive,neutral,positive,neutral
"sản phẩm xịn. chất lượng phù hợp giá tiền. giao nhanh",positive,neutral,positive,positive
"chất lượng thiết kế đẹp dễ sử dụng. đóng gói cẩn thận. giao nhanh. giá hợp lý",positive,positive,positive,positive
"cầm chắc chắn không dễ đổ. giao nhanh. không thấy miếng dán chống trượt",negative,neutral,positive,neutral
"khớp cứng cáp tải trọng tốt. shop giao lẹ. giá êm",positive,neutral,positive,neutral
"cầm vừa tay đẹp. giá rẻ. độ bền cần thời gian",positive,neutral,neutral,positive
"dày dặn chắc chắn. xoay nhiều góc. giá rẻ",negative,neutral,neutral,positive
